title;address;averageprice;rating
Royal Indien;4, rue de la Félicité 75017 Paris;Prix moyen 19 €;8,9
Le Barbe à Papa;18, rue Condorcet 75009 Paris;Prix moyen 30 €;9
Touch In Paris;20, rue Vignon 75009 Paris;Prix moyen 35 €;8,9
Bat un Karé;124 Rue du Chemin Vert 75011 Paris;Prix moyen 21 €;8,9
Le 9ème Ciel - Art Resto;67, rue de Rochechouart 75009 Paris;Prix moyen 30 €;8,9
Cappadoce;12, rue de Capri 75012 Paris;Prix moyen 25 €;8,9
Terra Nera;18, rue des Fossés Saint-Jacques 75005 Paris;Prix moyen 26 €;9
Le Vaisseau Vert;10 Rue de Parme 75009 Paris;Prix moyen 45 €;9
Biondi;118 Rue Amelot 75011 Paris;Prix moyen 45 €;9
Sur Mesure par Thierry Marx - Mandarin Oriental, Paris;251, rue Saint-Honoré 75001 Paris;Prix moyen 240 €;9,3
Hardy;44 Boulevard Voltaire 75011 Paris;Prix moyen 25 €;8,9
Chez Raja;28 Rue Surcouf 75007 Paris;Prix moyen 25 €;9
Le Bistrot du Poinçonneur;229, avenue Gambetta 75020 Paris;Prix moyen 22 €;8,9
Au Caveau de l'Isle;"36 Rue Saint-Louis en l&#39;Île 75004 Paris";Prix moyen 19 €;8,7
Galia - Maxim Godigna;123 Rue Didot 75014 Paris;Prix moyen 25 €;8,9
Les Vignes du Liban;291, rue du Vaugirard 75015 Paris;Prix moyen 19 €;8,9
ChaCha & Compagnie;6 Rue Brantôme 75003 Paris;Prix moyen 65 €;8,7
Secret Square;27, avenue des Ternes 75017 Paris;Prix moyen 70 €;9
Les Messugues;8, rue Léon Jost 75017 Paris;Prix moyen 37 €;9
La Fine Mousse Restaurant;4 bis, avenue Jean Aicard 75011 Paris;Prix moyen 39 €;8,9
Hôtel Bel Ami - Restaurant Les Mots Passants;Rue Saint-Benoît 75006 Paris;Prix moyen 42 €;9
Restaurant Seç;18, rue Jouffroy d'Abbans 75017 Paris;Prix moyen 22 €;9,1
Le Marrakech;7, avenue Philippe Auguste 75011 Paris;Prix moyen 20 €;8,8
Emporio Armani Ristorante;149 Boulevard Saint-Germain 75006 Paris;Prix moyen 90 €;9,2
Les Oreilles et La Queue Tour Eiffel;81 Avenue Bosquet 75007 Paris;Prix moyen 55 €;9,1
El Bayamo;25 Rue du Dr Heulin 75017 Paris;Prix moyen 21 €;8,7
Le Vrai Paris;33, rue des Abbesses 75018 Paris;Prix moyen 31 €;8,7
ACCENTS Table Bourse;24 Rue Feydeau 75002 Paris;Prix moyen 85 €;9,4
